modelName,targetOutputPowerDbm,measuredOutputPowerDbm,im3WorstDbc,im5WorstDbc,im7WorstDbc,dynamicGainHysteresisDb,dynamicPhaseHysteresisDegrees
rapp,10.0,9.999454421564721,-97.17427542750684,-106.71551533930665,-123.62285172441594,2.408425849892047e-09,9.988744741649122e-18
rapp,15.0,14.993337757379262,-67.20265446057775,-76.77087184352558,-93.7899847939533,7.616111185468844e-08,9.988744741649296e-18
rapp,20.0,19.817757830090333,-38.111667206894666,-48.42800175682197,-69.7279037573548,2.4084109384613362e-06,9.988744741649122e-18
rapp,23.0,22.769149048492622,-19.65694162812555,-41.30390696242224,-42.318004162081316,5.304418199230329e-05,9.988744741648862e-18
rapp,25.0,24.753344221601218,-9.743848343554513,-14.58439902154489,-18.11541895527302,0.4398657931411654,9.98874474164947e-18
wiener,10.0,10.062972346825108,-51.46327329028347,-87.44335063080243,-121.36400192876734,0.06140138440278942,0.01553761782924426
wiener,15.0,15.06264104536659,-42.791813951006674,-68.34937031120961,-92.47098735621935,0.061397966805580746,0.014432697697766277
wiener,20.0,20.09463322843595,-33.25442536643968,-45.72970135330151,-68.76960086793764,0.06128102071080186,0.012102620618258089
wiener,23.0,22.79823751130176,-19.30813945711234,-38.84358528863712,-41.639345709700336,0.06028674922659322,0.009724072501285121
wiener,25.0,24.754306543261755,-9.742942216604902,-14.578317586168012,-18.09878089054144,0.42519030549379144,0.012767957394906536
gmp,10.0,10.081384608417093,-69.3101055311443,-127.35281448460267,-186.8160695335008,0.012439868790243532,0.03574299545031233
gmp,15.0,15.083315359841574,-59.35551314214254,-107.32941434767014,-159.9215484539818,0.013402936119900143,0.03916029190568978
gmp,20.0,20.08881252363813,-49.5128874983004,-87.22014237317326,-129.5390729570925,0.017228327849674582,0.05230259498883359
gmp,23.0,23.09501973329481,-43.78262048256056,-75.08037182868242,-110.94555063110352,0.024123335537311323,0.07523737341373377
gmp,25.0,25.09938581610158,-40.16939063696175,-66.94922593059411,-98.3032205669605,0.03334416612383743,0.10538460665741416
doherty,10.0,10.062972346825108,-51.46327329028347,-87.44335063080243,-121.36400192876734,0.06140138440278942,0.01553761782924426
doherty,15.0,15.06264104536659,-42.791813951006674,-68.34937031120961,-92.47098735621935,0.061397966805580746,0.014432697697766277
doherty,20.0,20.071410400119994,-31.929768219538243,-46.02625973956374,-52.12889663667433,0.06152159974459859,0.012354239036556046
doherty,23.0,23.15320358186035,-30.411317683532225,-30.920558609722455,-51.242851349283676,0.061631097234202695,0.010304854706669777
doherty,25.0,24.75668330610386,-15.9768708036049,-39.65626399115136,-32.12757281209052,0.0598974627507429,0.011315642669970944
